epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9057,0.58592,2.75638,0.92511,0.7117,0.46592,0.69088,0.56605,0.62818,2.27246,0.88367,0.000470379,0.000470379,0.000470379
2,92.7332,0.71129,1.80409,0.98164,0.74289,0.69346,0.75588,0.62277,0.65589,1.54029,0.96994,0.000852988,0.000852988,0.000852988
3,138.951,0.7031,1.51614,0.96652,0.88198,0.78754,0.87555,0.71925,0.66404,1.25075,0.98504,0.00114128,0.00114128,0.00114128
4,188.344,0.68047,1.43424,0.97145,0.81539,0.7904,0.86071,0.73242,0.60401,1.32311,0.93679,0.00100459,0.00100459,0.00100459
5,237.779,0.6715,1.30685,0.95902,0.91603,0.88138,0.92335,0.80036,0.55538,1.10425,0.91079,0.000863116,0.000863116,0.000863116
6,287.109,0.60947,1.21608,0.92266,0.89874,0.83307,0.9246,0.81313,0.50694,1.02136,0.90047,0.000721645,0.000721645,0.000721645
7,336.384,0.59219,1.1228,0.94156,0.92016,0.90709,0.94358,0.83562,0.50438,0.98261,0.89694,0.000580174,0.000580174,0.000580174
8,385.833,0.55818,1.065,0.89927,0.94274,0.91171,0.95315,0.84811,0.48815,0.92981,0.88441,0.000438703,0.000438703,0.000438703
9,435.049,0.54303,1.06509,0.90109,0.94285,0.92445,0.95207,0.85512,0.46929,0.8684,0.88715,0.000297232,0.000297232,0.000297232
10,484.206,0.53373,1.01771,0.89652,0.95235,0.92281,0.95742,0.87074,0.43754,0.83939,0.87365,0.000155761,0.000155761,0.000155761
