epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.886017,1.12009,3.20913,1.3766,0.84334,0.75,0.93853,0.68622,1.361,0.97131,1.12913,1.19e-06,1.19e-06,1.19e-06
2,1.88298,1.44041,3.71558,1.61761,0.86253,0.75,0.93859,0.68678,1.39939,0.9802,1.13335,3.21657e-06,3.21657e-06,3.21657e-06
3,2.91784,1.37874,3.50229,1.55596,0.86253,0.75,0.93859,0.68678,1.39939,0.9802,1.13335,4.7719e-06,4.7719e-06,4.7719e-06
4,3.916,1.11985,2.40158,1.31472,0.87097,0.75,0.93967,0.68897,1.39008,1.01391,1.13394,5.85599e-06,5.85599e-06,5.85599e-06
5,4.90541,1.25929,3.04251,1.40305,0.87097,0.75,0.93967,0.68897,1.39008,1.01391,1.13394,6.46884e-06,6.46884e-06,6.46884e-06
6,5.92092,1.4571,3.68925,1.62224,0.87504,0.75,0.94191,0.69469,1.36553,1.00433,1.12722,6.61045e-06,6.61045e-06,6.61045e-06
7,6.8507,1.38662,2.38312,1.40637,0.87504,0.75,0.94191,0.69469,1.36553,1.00433,1.12722,6.28082e-06,6.28082e-06,6.28082e-06
8,7.82888,0.99848,2.81146,1.3211,0.87504,0.75,0.94191,0.69469,1.36553,1.00433,1.12722,5.47995e-06,5.47995e-06,5.47995e-06
9,8.94818,1.47001,2.3539,1.44135,0.88548,0.72722,0.8573,0.63201,1.36756,1.03516,1.12577,4.20784e-06,4.20784e-06,4.20784e-06
10,9.91969,0.94005,2.56343,1.17432,0.88548,0.72722,0.8573,0.63201,1.36756,1.03516,1.12577,2.46449e-06,2.46449e-06,2.46449e-06
